full_formula,task_id,formation_energy_per_atom
Tb2Co2Si2,mp-21203,-0.718334336666666
Sm4In2Ge4,mp-21222,-0.7358630099999999
Ca2In8Rh2,mp-21220,-0.3934383033333333
La1Ga3Pd2,mp-21201,-0.7699108279166662
Sm3In1,mp-21202,-0.26875467124999997
Eu1Si2Au2,mp-21229,-0.5534144130000002
La2In2Ni4,mp-21207,-0.41650644000000003
Gd4Co4B16,mp-21230,-0.5587199731944436
Eu2Zn2Si2,mp-21234,-0.469543625
Na2Cr2Ge4O12,mp-21213,-2.210043549655172
Tm4In2Pd4,mp-21205,-0.8859257096666667
Yb2In4Ni2,mp-21223,-0.4231413374999997
Pr1Fe2Ge2,mp-21221,-0.42544326300000035
Tm3In3Rh3,mp-21232,-0.7539016399999999
Sm1Ge2Ru2,mp-21224,-0.6622579349999995
